ts,symbol,open_time,spot_close,mark_close,index_close,premium_close,basis_mark_vs_spot,basis_index_vs_spot,funding_rate,funding_interval_hours,volume,quote_volume,trades,agg_sum_qty,agg_trades,agg_cvd_qty,agg_vwap,agg_last_trade_id,agg_taker_buy_qty,agg_taker_sell_qty,agg_taker_buy_trades,agg_taker_sell_trades,agg_buy_notional,agg_sell_notional,agg_buy_vwap,agg_sell_vwap,agg_first_price,agg_last_price,agg_first_trade_id
2025-01-22 08:45:00+00:00,SOL-USDT,1737535500000,255.28,255.11,255.2573697,-0.0006764,-0.0006659354434,-8.86E-05,-2.09E-05,8,38511.169,9820673.568,36460,38511.169,6572,6879.187,255.0084514,484251739,22695.178,15815.991,3269,3303,5787101.821,4033571.747,254.9925725,255.0312369,254.51,255.28,484245168
2025-01-22 08:45:00+00:00,XRP-USDT,1737535500000,3.171,3.17123305,3.17091143,2.79E-05,7.35E-05,-2.79E-05,0.0001,8,2530875,8002344.228,22612,2530875,4651,354973,3.16188837,536866755,1442924,1087951,2412,2239,4563245.827,3439098.401,3.162499083,3.161078395,3.1565,3.171,536862105
2025-01-22 09:00:00+00:00,ADA-USDT,1737536400000,0.9935,0.9929,0.99321076,-0.00016862,-0.0006039255159,-0.0002911323603,0.0001,8,896254,888268.6245,4637,896254,1273,-195914.6,0.9910902763,367414380,350169.7,546084.3,574,699,347158.1709,541110.4536,0.991399801,0.9908917975,0.9935,0.9935,367413108
2025-01-22 09:00:00+00:00,BNB-USDT,1737536400000,697.24,697.6501461,697.3817694,0.00041336,0.0005882422982,0.0002033294131,0,8,1434.276,1000459.649,8198,1434.276,3465,-202.466,697.5363519,633587011,615.905,818.371,1459,2006,429623.1862,570836.4624,697.5478137,697.5277257,698.05,697.24,633583547
2025-01-22 09:00:00+00:00,BTC-USDT,1737536400000,105000.42,104976.3,105000.7764,-0.00021478,-0.0002297133669,3.39E-06,0.0001,8,170.78687,17940578.8,28904,170.78687,11519,-53.53943,105046.5929,3394100019,58.62372,112.16315,5082,6437,6158086.447,11782492.36,105044.2798,105047.8019,105270.03,105000.42,3394088501
2025-01-22 09:00:00+00:00,ETH-USDT,1737536400000,3294.8,3293.6,3294.897317,-0.00027489,-0.0003642102707,2.95E-05,0.0001,8,3275.6843,10795817.49,14152,3275.6843,6268,-560.1107,3295.744186,1402196052,1357.7868,1917.8975,2739,3529,4474844.941,6320972.546,3295.690414,3295.782254,3299.56,3294.8,1402189785
2025-01-22 09:00:00+00:00,LINK-USDT,1737536400000,25.77,25.75610803,25.75393495,7.98E-05,-0.0005390752813,-0.0006234012418,0.0001,8,60057.83,1547090.618,3694,60057.83,1002,-11689.21,25.76001527,258572752,24184.31,35873.52,350,652,622943.9706,924146.647,25.75818663,25.76124805,25.92,25.77,258571751
2025-01-22 09:00:00+00:00,SOL-USDT,1737536400000,254.64,254.52,254.6492987,-0.00046014,-0.0004712535344,3.65E-05,-2.09E-05,8,26375.548,6719593.826,25952,26375.548,5044,-3205.48,254.7660366,484256783,11585.034,14790.514,2651,2393,2951822.866,3767770.96,254.7962195,254.742395,255.27,254.64,484251740
2025-01-22 09:00:00+00:00,XRP-USDT,1737536400000,3.1674,3.167,3.16696286,3.87E-05,-0.0001262865442,-0.0001380122498,0.0001,8,1013260,3209611.273,18506,1013260,3831,-231968,3.16760878,536870586,390646,622614,1706,2125,1237325.137,1972286.136,3.167382071,3.167751024,3.171,3.1674,536866756
2025-01-22 09:15:00+00:00,ADA-USDT,1737537300000,0.9943,0.994,0.99429123,-0.00023057,-0.0003017198029,-8.82E-06,0.0001,8,986120.5,979702.2566,4446,986120.5,1262,-161584.7,0.9934914207,367415642,412267.9,573852.6,611,651,409644.3825,570057.8741,0.993636377,0.9933872811,0.9935,0.9943,367414381
